Generation,Best Value
0,121.764
1,171.274
2,175.155
3,216.378
4,234.199
6,245.086
7,249.251
8,261.351
10,274.022
11,276.987
12,283.067
14,287.988
18,289.07
19,297.351
27,298.776
28,312.457
31,320.461
34,340.596
35,353.89
36,355.195
37,358.445
57,369.67
64,376.598
65,377.629
77,381.698
90,385.975
91,393.226
104,393.292
121,400.557
148,401.94
150,405.786
153,409.825
177,410.106
201,419.446
202,421.307
206,423.657
214,424.021
250,429.585
252,429.916
284,430.354
306,432.398
307,433.239
343,433.652
351,434.166
381,434.403
413,436.666
460,437.528
502,437.72
603,437.72
