Generation,Best Value
0,121.764
1,165.954
2,173.343
3,189.637
4,208.521
6,229.557
7,230.63
8,237.533
9,270.48
10,273.98
11,288.608
15,294.361
17,299.227
18,311.851
21,316.234
24,317.287
25,317.836
30,322.806
35,328.336
41,330.812
45,331.051
46,332.204
54,334.407
60,335.835
66,339.064
75,343.992
78,345.376
79,352.916
95,356.682
100,362.673
104,362.991
120,364.418
135,367.346
137,367.798
140,368.837
144,373.587
146,373.734
150,374.599
160,376.26
167,376.658
173,377.027
187,377.363
188,381.042
194,384.021
210,388.71
232,393.565
240,400.096
263,400.774
269,405.652
274,406.971
290,410.625
312,412.516
313,414.888
333,415.578
355,415.95
356,419.227
378,420.378
400,421.895
405,423.706
432,423.797
437,424.662
453,424.984
455,427.176
509,428.697
531,429.43
541,433.785
563,435.068
564,435.856
586,436.31
620,436.576
633,437.388
640,437.72
741,437.72
