Generation,Best Value
0,121.764
1,182.035
2,197.146
3,215.385
4,216.589
5,218.194
6,233.145
7,254.626
8,262.744
10,271.545
11,272.649
15,280.569
17,281.803
19,284.721
20,286.288
21,293.222
22,294.32
24,297.024
27,297.127
28,300.268
30,307.95
31,308.051
33,320.467
34,321.58
36,326.793
38,328.281
39,334.83
42,342.844
45,349.486
52,349.777
65,354.623
88,354.685
91,355.279
95,356.7
106,359.135
115,361.375
119,364.338
129,365.362
152,367.561
158,371.059
159,387.545
160,397.566
162,399.931
171,400.278
176,405.667
185,406.406
186,407.04
187,412.509
210,412.999
221,413.912
251,416.844
266,416.914
304,419.586
307,420.032
311,420.633
333,423.211
340,423.742
351,423.921
353,425.123
378,426.019
379,426.808
403,428.51
432,428.876
454,429.707
478,430.135
503,430.811
537,430.974
539,431.095
540,431.754
542,432.171
559,433.274
595,433.868
598,434.244
630,434.828
631,435.288
635,435.745
665,436.622
704,436.874
711,437.388
751,437.528
753,437.72
854,437.72
