Generation,Best Value
0,121.764
1,181.374
2,218.247
3,252.019
4,278.055
5,278.93
6,286.721
7,291.935
8,293.144
10,295.299
11,297.538
12,299.148
16,300.188
17,304.225
20,312.72
21,314.244
22,316.345
23,316.686
30,319.832
32,320.086
33,322.688
34,327.69
37,334.755
47,336.178
48,340.319
51,347.36
68,347.939
85,348.725
87,349.691
92,351.429
109,358.479
112,359.401
114,369.822
115,377.789
124,379.106
139,393.692
141,395.015
143,398.388
149,406.214
157,406.464
181,406.953
190,407.455
191,412.656
193,414.073
208,414.259
215,415.819
232,419.249
251,420.514
280,421.662
306,422.056
308,422.492
328,423.047
331,425.159
334,425.787
352,426.689
361,432.269
383,432.61
384,432.937
415,433.837
444,435.014
466,435.655
497,435.755
519,436.479
525,436.576
551,436.817
586,437.72
687,437.72
