Generation,Best Value
0,121.764
1,149.471
2,163.187
3,222.007
4,224.144
5,229.841
6,243.201
7,244.818
8,247.982
9,284.229
10,284.951
11,298.568
13,304.933
19,305.247
24,307.721
28,311.385
38,314.243
39,316.187
40,321.683
43,325.805
45,330.24
59,333.084
60,338.129
61,348.368
65,353.832
87,359.286
88,360.776
91,362.827
94,372.904
100,375.65
102,377.69
124,386.351
130,387.995
140,391.587
142,391.673
159,393.884
160,397.525
162,397.763
165,401.221
175,402.634
187,406.515
196,406.953
217,412.936
241,413.788
244,415.729
252,417.133
274,418.712
284,421.387
311,426.18
345,426.297
390,426.877
457,427.097
529,431.703
589,431.946
611,437.442
671,437.72
772,437.72
