Generation,Best Value
0,121.764
1,230.857
4,237.337
5,247.68
7,250.256
8,257.764
10,260.877
15,261.671
16,262.292
17,264.34
22,267.036
26,270.382
28,271.834
32,273.661
35,277.159
43,277.783
65,280.019
67,283.722
75,285.257
81,288.607
82,293.05
96,302.289
118,326.553
119,331.469
121,332.054
124,335.256
126,335.638
143,336.315
154,341.122
159,343.417
160,346.514
182,356.448
183,362.381
201,363.939
202,367.387
225,367.956
230,368.282
254,373.555
255,382.559
277,400.723
284,405.613
309,418.493
314,420.867
318,423.816
320,424.346
324,428.396
351,429.423
381,430.89
383,432.929
389,433.308
424,435.46
446,436.427
513,436.914
531,437.72
632,437.72
