Generation,Best Value
0,121.764
1,122.438
2,165.956
3,175.672
4,194.493
5,224.832
6,244.064
7,268.899
8,274.885
9,278.371
10,286.406
16,287.087
17,293.094
20,299.856
21,302.697
26,308.481
29,310.56
31,311.36
52,320.456
53,321.555
54,333.403
55,342.302
57,344.696
59,345.255
61,347.91
74,358.54
97,359.873
99,374.509
101,374.518
103,378.865
105,387.421
106,391.545
128,391.958
142,393.387
147,394.134
153,395.894
155,399.879
158,400.511
177,401.605
181,405.294
198,405.968
201,412.28
212,414.275
236,414.516
240,418.053
266,419.309
292,420.26
325,423.105
348,423.234
349,423.471
375,428.029
410,428.232
437,430.493
461,430.615
462,431.903
466,432.398
502,432.524
529,432.966
587,432.973
589,433.034
621,434.906
643,435.502
647,435.537
690,435.764
750,437.218
785,437.528
822,437.72
923,437.72
