Generation,Best Value
0,121.764
1,122.438
2,165.956
3,175.672
4,194.493
5,224.832
6,244.064
7,268.899
8,274.885
9,278.371
10,286.406
16,287.087
17,293.094
20,299.856
21,302.697
26,308.481
29,310.56
31,311.36
52,320.456
55,323.638
61,342.067
62,347.753
63,356.647
72,370.89
99,381.324
100,382.592
102,384.309
129,386.23
130,391.144
132,393.964
143,394.728
149,399.367
160,399.41
173,403.421
181,405.273
208,412.926
211,415.39
213,416.617
240,418.891
268,422.608
299,424.149
304,429.989
310,431.234
316,431.504
343,432.667
373,434.238
402,434.595
461,435.037
462,435.387
493,435.856
551,437.04
616,437.279
717,437.279
