Generation,Best Value
0,121.764
1,122.438
2,165.956
3,175.672
4,194.493
5,224.832
6,244.064
7,268.899
8,274.885
9,278.371
10,286.406
16,287.087
17,293.094
20,299.856
21,302.697
26,308.481
29,310.56
31,311.36
52,320.456
54,321.555
55,328.624
61,330.536
64,343.074
66,343.439
92,370.89
93,374.912
106,382.592
130,389.225
151,392.56
178,397.283
180,402.855
207,405.559
208,408.182
230,409.325
234,412.055
237,416.519
255,417.385
271,418.127
273,423.351
305,423.861
312,427.531
352,427.622
353,428.431
427,429.048
509,429.362
610,429.362
